categoryName,city,reviewsCount,stars,state,text,title,url
Centro de bienestar social,Burgos,35,3.0,Burgos,,Grupo Social Aspanias,https://www.google.com/maps/search/?api=1&query=Grupo%20Social%20Aspanias&query_place_id=ChIJV5pYy7_9RQ0RzjzD8e789jg
Lugar de interés histórico,Quintanilla del Agua,1,5.0,Burgos,"Fuente romana del despoblado de San Pedro la Villa cuya ermita en ruinas se sitúa 150 metros al oeste. También llamada erróneamente ""Fuente Mora"", por cercanía.",Fuente de San Pedro,https://www.google.com/maps/search/?api=1&query=Fuente%20de%20San%20Pedro&query_place_id=ChIJXSgZo7nbRQ0RHGhnC0RPs9w
Residencia de cuidados paliativos,Burgos,0,,Burgos,,HermanasHospitalarias Del Sagrado Corazón,https://www.google.com/maps/search/?api=1&query=HermanasHospitalarias%20Del%20Sagrado%20Coraz%C3%B3n&query_place_id=ChIJyd8Gqdn8RQ0RWvaYe9gQiBY
Centro de salud,Villalonquéjar,5,5.0,Burgos,,MAS Prevención Burgos,https://www.google.com/maps/search/?api=1&query=MAS%20Prevenci%C3%B3n%20Burgos&query_place_id=ChIJA8fUpsL8RQ0RYOHkLbMg8Ng
Oficinas de empresa,Burgos,3,5.0,Burgos,Muy profesionales con la averías que tenemos en nuestra comunidad de regantes,Catasa,https://www.google.com/maps/search/?api=1&query=Catasa&query_place_id=ChIJbUPFFnT9RQ0RYyr8T103nDI
Empresa constructora,Burgos,7,1.0,Burgos,,Universal Vertical,https://www.google.com/maps/search/?api=1&query=Universal%20Vertical&query_place_id=ChIJOfUxuTv9RQ0RRuRKV6pHdUg
Contratista,Burgos,2,5.0,Burgos,Trato amigable y profesional,Electroluigar3,https://www.google.com/maps/search/?api=1&query=Electroluigar3&query_place_id=ChIJndcjyYH9RQ0RFYV-s1mUZYw
Parque infantil,Burgos,15,5.0,Burgos,Bonito y tranquilo,Parque infantil Plaza Mencilla,https://www.google.com/maps/search/?api=1&query=Parque%20infantil%20Plaza%20Mencilla&query_place_id=ChIJ3_IyVHH9RQ0Rk7eFPqd0SSg
Panadería,Burgos,47,5.0,Burgos,"un délice autant pour le sucré que le salé , beaucoup de gentillesse de la serveuse .",Panadería El Horno,https://www.google.com/maps/search/?api=1&query=Panader%C3%ADa%20El%20Horno&query_place_id=ChIJj1AtJjr9RQ0R4jqu4Cefjmo
Consultora informática,Burgos,10,5.0,Burgos,Si buscas una empresa seria y de confianza de informática o redes es tu empresa. Amables y con mucha capacidad.,Teibur SLL,https://www.google.com/maps/search/?api=1&query=Teibur%20SLL&query_place_id=ChIJEUJVCjn9RQ0RDGx1aKt-uCg
Academia de idiomas,Burgos,8,5.0,Burgos,"Grupos de inglés reducidos de 6 alumnos.
Se sigue un método curricular a través de un libro de texto, que vale para 3 años.
Amplios horarios y turnos, para que los chic@s puedan asistir.
""Academia de barrio"", cerca de todos.
Muy recomendable.",MaWi Academia,https://www.google.com/maps/search/?api=1&query=MaWi%20Academia&query_place_id=ChIJeSbhaBX9RQ0ROdljyOL9nc8
Cancha de baloncesto,Burgos,2,5.0,Burgos,Esta bien,Pistas de futbito y baloncesto,https://www.google.com/maps/search/?api=1&query=Pistas%20de%20futbito%20y%20baloncesto&query_place_id=ChIJM-FnvnX9RQ0RkHuvwol5UgQ
Organización de servicios sociales,Burgos,54,4.0,Burgos,,Fundación Aspanias Burgos,https://www.google.com/maps/search/?api=1&query=Fundaci%C3%B3n%20Aspanias%20Burgos&query_place_id=ChIJuxc9pzn9RQ0RX6T5dtXMH1k
