Place ID,Latitude,Longitude
ChIJv6jNMq4lTw0RbPodZAQGjPM,43.0229503,-3.507536
ChIJgaUZC1P9RQ0RG0LXewLThJw,42.3352995,-3.7120029
ChIJY802ddX8RQ0RhT8zkhhDrWE,42.3361538,-3.7018726
ChIJi37yGwAPRg0RYvcm2VaFZhY,42.3074811,-3.9076491
ChIJmwJbvJP8RQ0R5sUIxAGs934,42.3612135,-3.678673
ChIJR9Pagi39RQ0R8rdxJj5hJyg,42.3352992,-3.712078
ChIJix6inCr9RQ0RjG8e5kwIh8E,42.3357089,-3.7017197
ChIJ2Vv0a7nvRQ0Rt2NHeh78S-k,42.3313108,-3.5355914
ChIJ2Vv0a7nvRQ0Rt2NHeh78S-k,42.3313165,-3.5356289
ChIJJf9oXin9RQ0R9rPrBEPtxLQ,42.3397331,-3.7063929
ChIJq0FU82AkTw0RfQ1-VULC4cg,43.0229503,-3.507536
ChIJR9Pagi39RQ0R8rdxJj5hJyg,42.3352995,-3.7120029
ChIJKYFbedX8RQ0RMqRoVxNBHbo,42.3361538,-3.7018726
ChIJiec9bAAPRg0R4-PsZ9SLtKg,42.3074811,-3.9076491
ChIJR_RPPfD9RQ0Raww9eKMeAVk,42.3612135,-3.678673
ChIJjeKQpTL9RQ0R7CIxk0LsLyU,42.3352992,-3.712078
ChIJATODZNX8RQ0Rk1mi5hQJ5tY,42.3357089,-3.7017197
ChIJdSGX0S3uRQ0RTaj4LV21k60,42.3313108,-3.5355914
ChIJdSGX0S3uRQ0RTaj4LV21k60,42.3313165,-3.5356289
ChIJq6qqqiX9RQ0RaZPM6hIMV9o,42.3397331,-3.7063929
ChIJ5y9dhWAkTw0RJy0dY01pUrc,43.0229503,-3.507536
ChIJLU6_Dm79RQ0RUec689zzHD0,42.3352995,-3.7120029
ChIJ9X0IbAAPRg0RmMlbWM-KwNw,42.3074811,-3.9076491
ChIJs_FkedX8RQ0RX90x0HEtuXE,42.3361538,-3.7018726
ChIJqSjdRJP8RQ0RmYF-YRVv9tU,42.3612135,-3.678673
ChIJ8R53rzL9RQ0RM8iZMZMccmg,42.3352992,-3.712078
ChIJE0zPyy3uRQ0RGuiqcxXkA1k,42.3313108,-3.5355914
ChIJL5Pw29T8RQ0R4UY06I90mRE,42.3357089,-3.7017197
ChIJgxfBWyn9RQ0Rib8lwNl_jFY,42.3397331,-3.7063929
ChIJq6qqqpohTw0R_2rofRJSc8Q,43.0229503,-3.507536
ChIJE0zPyy3uRQ0RGuiqcxXkA1k,42.3313165,-3.5356289
ChIJ-amg8Q79RQ0Rh-2l55yB2ro,42.3352995,-3.7120029
ChIJ9QoMPgAPRg0R-emNvhRGxdA,42.3074811,-3.9076491
ChIJl-KceNX8RQ0RveANoBq-6VI,42.3361538,-3.7018726
ChIJmwJbvJP8RQ0RgdBOFPPrkew,42.3612135,-3.678673
ChIJQ23xQAD9RQ0RjvKs5KnRWQM,42.3397331,-3.7063929
ChIJybOjWgDvRQ0RXx02_9alCQA,42.3313108,-3.5355914
ChIJaWcM0IIRRg0RgNmoQRMiJrc,42.3074811,-3.9076491
ChIJBe_9iGAkTw0R58fbgcylCjY,43.0229503,-3.507536
ChIJybOjWgDvRQ0RXx02_9alCQA,42.3313165,-3.5356289
ChIJdVnxe9X8RQ0R3163O5ypmLE,42.3361538,-3.7018726
ChIJxeORvif9RQ0R5_C-P0beFak,42.3397331,-3.7063929
ChIJWzrLvpP8RQ0RYNZrqvWlCUM,42.3612135,-3.678673
ChIJbekdri3uRQ0R1yrS4TLqq08,42.3313108,-3.5355914
ChIJ-WdngxQPRg0RKSW2Wk3fS3o,42.3074811,-3.9076491
ChIJdfzihWAkTw0Rhkj4xCdoaKo,43.0229503,-3.507536
ChIJbekdri3uRQ0R1yrS4TLqq08,42.3313165,-3.5356289
ChIJBxbYRgD9RQ0RP5FnO5OMNHA,42.3397331,-3.7063929
ChIJ8dUSfNX8RQ0RpFbujSxh68E,42.3361538,-3.7018726
ChIJq6G1kMv8RQ0Rm7emiIiRiNQ,42.3612135,-3.678673
ChIJVa5NzSIRRg0RVXR1YpjisPk,42.3074811,-3.9076491
ChIJ_e1OrdX9RQ0RhCsa7FBfO00,42.3397331,-3.7063929
ChIJW5gkZekjTw0RtoBPe3BOsc0,43.0229503,-3.507536
ChIJmwJbvJP8RQ0RPEflfevb0Q0,42.3612135,-3.678673
ChIJqdYzU8P9RQ0Rfp6P4st8ez4,42.3397331,-3.7063929
ChIJy990ZJcjTw0R4YLCj0XDFqg,43.0229503,-3.507536
ChIJcWzMvpP8RQ0R-7YDZZgPkh8,42.3612135,-3.678673
ChIJERCatpP8RQ0R-UuqnDMfRKQ,42.3612135,-3.678673
ChIJo2PT-EgdTw0R0uAR6Z-DW_o,43.1114096,-3.2663166
